Team,Season,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%
Anaheim Ducks,20202021,56,17,30,--,9,43,0.384,11,15,2,124,177,2.21,3.16,8.9,79.9,4.9,81.1,26.8,30.6,51
Buffalo Sabres,20202021,56,15,34,--,7,37,0.33,11,11,4,134,196,2.39,3.5,21,77.7,17.5,81.3,28.4,33.7,49.6
Boston Bruins,20192020,70,44,14,--,12,100,0.714,38,44,0,227,167,3.24,2.39,25.2,84.3,22.1,86.6,32.1,30,51
St. Louis Blues,20192020,71,42,19,--,10,94,0.662,33,40,2,223,190,3.14,2.68,24.3,79.3,21.3,81.8,30.7,29.6,51.6
Tampa Bay Lightning,20192020,70,43,21,--,6,92,0.657,35,41,2,243,194,3.47,2.77,23.1,81.4,19.8,84,31.1,30.9,50.5
Colorado Avalanche,20192020,70,42,20,--,8,92,0.657,37,41,1,236,190,3.37,2.71,19.1,81.4,16.6,85.2,32.2,31.3,49.6
Washington Capitals,20192020,69,41,20,--,8,90,0.652,31,37,4,236,212,3.42,3.07,19.4,82.6,15.3,85.1,32,30.2,48.3
Philadelphia Flyers,20192020,69,41,21,--,7,89,0.645,31,36,5,227,191,3.29,2.77,20.8,81.8,18.1,85.7,31.4,28.7,54.6
Pittsburgh Penguins,20192020,69,40,23,--,6,86,0.623,29,37,3,221,196,3.2,2.84,19.9,82.1,17.5,85.3,31.9,29.7,48.9
Vegas Golden Knights,20192020,71,39,24,--,8,86,0.606,30,36,3,224,209,3.15,2.94,22,76.6,20.4,80.8,34.5,29.3,50
Edmonton Oilers,20192020,71,37,25,--,9,83,0.585,31,35,2,223,215,3.14,3.03,29.5,84.4,24.5,85.9,29.6,32,49
Dallas Stars,20192020,69,37,24,--,8,82,0.594,26,35,2,178,174,2.58,2.52,21.1,79.7,19.1,82,30.6,31.6,51.8
Carolina Hurricanes,20192020,68,38,25,--,5,81,0.596,27,33,5,217,193,3.19,2.84,22.3,84,20.4,88.1,33.3,29.3,50.5
Toronto Maple Leafs,20192020,70,36,25,--,9,81,0.579,28,35,1,237,222,3.39,3.17,23.1,77.7,19.5,80.3,32.9,31.9,52.5
Columbus Blue Jackets,20192020,70,33,22,--,15,81,0.579,25,33,0,180,183,2.57,2.61,16.4,81.7,13.8,83.4,32.5,29.9,48.5
Winnipeg Jets,20192020,71,37,28,--,6,80,0.563,30,34,3,213,201,3,2.83,20.5,77.6,19,81,31.3,32.6,50.1
New York Islanders,20192020,68,35,23,--,10,80,0.588,24,32,3,189,190,2.78,2.79,17.3,80.7,14.3,84.1,29.6,31.2,49.9
New York Rangers,20192020,70,37,28,--,5,79,0.564,31,36,1,233,220,3.33,3.14,22.9,77.4,20.3,80.9,31.1,34,46.6
Calgary Flames,20192020,70,36,27,--,7,79,0.564,25,30,6,204,214,2.91,3.06,21.2,82.1,16.6,85.2,31.6,32.4,49.1
Vancouver Canucks,20192020,69,36,27,--,6,78,0.565,27,32,4,224,214,3.25,3.1,24.2,80.5,22.5,82.8,31.2,33.3,54
Florida Panthers,20192020,69,35,26,--,8,78,0.565,30,32,3,228,224,3.3,3.25,21.3,78.5,19,80.7,32.7,32.3,50.3
Nashville Predators,20192020,69,35,26,--,8,78,0.565,28,32,3,212,214,3.07,3.1,17.3,76.1,13.7,78.9,33.1,31.3,52.3
Minnesota Wild,20192020,69,35,27,--,7,77,0.558,30,33,2,218,217,3.16,3.14,21.3,77.2,18.5,78.6,30.1,30.7,48.4
Arizona Coyotes,20192020,70,33,29,--,8,74,0.529,26,28,5,190,183,2.71,2.61,19.2,82.7,16.8,85.3,31.7,32.4,49.1
Chicago Blackhawks,20192020,70,32,30,--,8,72,0.514,23,28,4,208,214,2.97,3.06,15.2,82.1,11.5,85,31.8,35.1,49.9
Montréal Canadiens,20192020,71,31,31,--,9,71,0.5,19,27,4,208,220,2.93,3.1,17.7,78.7,15.1,81.5,34.1,31.1,50.4
Buffalo Sabres,20192020,69,30,31,--,8,68,0.493,22,28,2,193,215,2.8,3.12,18.9,74.6,13.3,77.3,29.3,31.1,45.9
New Jersey Devils,20192020,69,28,29,--,12,68,0.493,22,24,4,185,224,2.68,3.25,18,82.4,13.7,86.4,30.7,32.7,46.8
Anaheim Ducks,20192020,71,29,33,--,9,67,0.472,20,24,5,182,225,2.56,3.17,14.7,77,12,81.7,29.7,32.1,50.5
Los Angeles Kings,20192020,70,29,35,--,6,64,0.457,21,28,1,177,209,2.53,2.99,17.1,77.4,16.6,80,33.2,29.7,50.8
San Jose Sharks,20192020,70,29,36,--,5,63,0.45,22,27,2,180,225,2.57,3.21,17.5,85.7,14.3,88.8,30,30.6,48.9
Ottawa Senators,20192020,71,25,34,--,12,62,0.437,18,24,1,190,238,2.68,3.35,14.2,76.1,11.4,82.6,30.6,33.6,50.3
Detroit Red Wings,20192020,71,17,49,--,5,39,0.275,13,14,3,142,265,2,3.73,14.9,74.3,8.8,76.1,27.1,32.8,49.5
Tampa Bay Lightning,20182019,82,62,16,--,4,128,0.78,49,56,6,319,221,3.89,2.7,28.2,85,27.1,89.5,32,32.1,51.2
Calgary Flames,20182019,82,50,25,--,7,107,0.652,45,50,0,289,223,3.52,2.72,19.3,79.7,16.7,87,32.4,28.1,52.4
Boston Bruins,20182019,82,49,24,--,9,107,0.652,38,47,2,257,212,3.13,2.59,25.9,79.9,19.9,82.8,32.7,29.5,50.7
Washington Capitals,20182019,82,48,26,--,8,104,0.634,39,44,4,274,248,3.34,3.02,20.8,78.9,18.6,80.8,30.4,31.5,45.7
New York Islanders,20182019,82,48,27,--,7,103,0.628,37,43,5,223,191,2.72,2.33,14.5,79.9,14.1,82.7,28.8,30.9,47.4
San Jose Sharks,20182019,82,46,27,--,9,101,0.616,38,46,0,289,258,3.52,3.15,23.7,80.8,19.9,84.6,33,28.3,50.3
Nashville Predators,20182019,82,47,29,--,6,100,0.61,38,43,4,236,212,2.88,2.59,12.9,82.1,9.8,85.3,32.7,30,51.5
Toronto Maple Leafs,20182019,82,46,28,--,8,100,0.61,40,46,0,286,249,3.49,3.04,21.8,79.9,17.5,82.4,33.4,33.1,53
Pittsburgh Penguins,20182019,82,44,26,--,12,100,0.61,37,42,2,271,238,3.3,2.9,24.6,79.7,18,85.1,33.3,33.3,50.6
Winnipeg Jets,20182019,82,47,30,--,5,99,0.604,38,45,2,270,243,3.29,2.96,24.8,79.2,22,83.2,31.2,33.4,50.7
Carolina Hurricanes,20182019,82,46,29,--,7,99,0.604,39,44,2,243,221,2.96,2.7,17.8,81.6,14.6,84.9,34.4,28.6,49
St. Louis Blues,20182019,82,45,28,--,9,99,0.604,36,42,3,244,220,2.98,2.68,21.1,81.5,18.1,83.6,31.8,28.6,51.4
Columbus Blue Jackets,20182019,82,47,31,--,4,98,0.598,37,45,2,256,231,3.12,2.82,15.4,85,12.7,89,31.6,29.5,50.3
Montréal Canadiens,20182019,82,44,30,--,8,96,0.585,37,41,3,246,236,3,2.88,13.3,80.9,11.5,83,34.1,31.1,49.4
Dallas Stars,20182019,82,43,32,--,7,93,0.567,36,42,1,209,200,2.55,2.44,21,82.8,20.1,84.5,30.7,31.6,51.9
Vegas Golden Knights,20182019,82,43,32,--,7,93,0.567,36,40,3,246,228,3,2.78,16.8,80.9,16,85.7,34.3,29.3,50.4
Colorado Avalanche,20182019,82,38,30,--,14,90,0.549,33,36,2,258,244,3.15,2.98,22,78.7,20.3,82,32.6,31.9,48.1
Arizona Coyotes,20182019,82,39,35,--,8,86,0.524,30,35,4,209,220,2.55,2.68,16.3,85,12.8,92,30.7,30.8,47.9
Florida Panthers,20182019,82,36,32,--,14,86,0.524,26,33,3,264,273,3.22,3.33,26.8,81.3,21.9,82.6,33,30.7,49.8
Chicago Blackhawks,20182019,82,36,34,--,12,84,0.512,24,33,3,267,291,3.26,3.55,20.2,72.7,17.2,75.3,32.5,34.8,49.5
Minnesota Wild,20182019,82,37,36,--,9,83,0.506,33,36,1,210,233,2.56,2.84,20.3,81.7,18.7,83.8,31.3,29.5,49.4
Philadelphia Flyers,20182019,82,37,37,--,8,82,0.5,28,34,3,241,280,2.94,3.41,17.1,78.5,12.4,80.2,31.5,32.5,54.7
Vancouver Canucks,20182019,82,35,36,--,11,81,0.494,22,29,6,219,248,2.67,3.02,17.1,81.1,13.9,83.9,29.7,31.7,49.5
Anaheim Ducks,20182019,82,35,37,--,10,80,0.488,27,32,3,196,248,2.39,3.02,17,79.7,12.3,81.6,27.7,33.2,51.3
Edmonton Oilers,20182019,82,35,38,--,9,79,0.482,24,32,3,229,271,2.79,3.3,21.2,74.8,18,78.9,29.2,31.7,48.4
New York Rangers,20182019,82,32,36,--,14,78,0.476,23,26,6,221,267,2.7,3.26,19.4,78.2,17.6,80.8,29.2,33.8,46.9
Buffalo Sabres,20182019,82,33,39,--,10,76,0.463,21,28,5,221,268,2.7,3.27,19.5,80.9,15.7,82.3,32.9,33,47.9
Detroit Red Wings,20182019,82,32,40,--,10,74,0.451,20,29,3,224,272,2.73,3.32,18.1,77.1,14.8,80,29.2,33.7,50.8
New Jersey Devils,20182019,82,31,41,--,10,72,0.439,24,28,3,219,271,2.67,3.3,17.7,84.3,13.8,88.2,30.3,31.6,49.4
Los Angeles Kings,20182019,82,31,42,--,9,71,0.433,22,28,3,199,259,2.43,3.16,15.8,76.5,10,78.3,28.8,31.4,50.5
Ottawa Senators,20182019,82,29,47,--,6,64,0.39,23,29,0,242,301,2.95,3.67,20.4,79.2,16.8,81,29.6,35.7,49.6
Nashville Predators,20172018,82,53,18,--,11,117,0.713,42,47,6,261,204,3.18,2.49,21.3,81.9,19.4,85.3,32.2,32.4,53.3
Winnipeg Jets,20172018,82,52,20,--,10,114,0.695,43,48,4,273,216,3.33,2.63,23.4,81.8,20.8,85,32.2,31.9,52.4
Tampa Bay Lightning,20172018,82,54,23,--,5,113,0.689,42,48,6,290,234,3.54,2.85,23.9,76.1,22.8,79.5,32.7,32.7,48.2
Boston Bruins,20172018,82,50,20,--,12,112,0.683,41,47,3,267,211,3.26,2.57,23.6,83.7,19.7,87.4,33,29.3,50.8
Vegas Golden Knights,20172018,82,51,24,--,7,109,0.665,39,47,4,268,225,3.27,2.74,21,81.4,19,84.8,32.8,30.7,48.9
Toronto Maple Leafs,20172018,82,49,26,--,7,105,0.64,37,42,7,270,230,3.29,2.8,25,81.4,22.8,83.1,32.2,33.9,51.8
Washington Capitals,20172018,82,49,26,--,7,105,0.64,38,46,3,256,238,3.12,2.9,22.5,80.3,19.3,81.8,29,31.9,50.4
Minnesota Wild,20172018,82,45,26,--,11,101,0.616,38,42,3,250,229,3.05,2.79,20.4,81.3,17.9,83.8,30.2,31.3,49.8
Anaheim Ducks,20172018,82,44,25,--,13,101,0.616,35,40,4,231,209,2.82,2.55,17.8,83.2,15.9,86.9,30.2,33.1,51.3
Pittsburgh Penguins,20172018,82,47,29,--,6,100,0.61,33,45,2,270,248,3.29,3.02,26.2,80,25,82.3,34.4,31.1,50.3
San Jose Sharks,20172018,82,45,27,--,10,100,0.61,35,40,5,247,226,3.01,2.76,20.6,84.8,19.5,88.4,33,30.3,51.3
Los Angeles Kings,20172018,82,45,29,--,8,98,0.598,34,43,2,237,202,2.89,2.46,20.4,85,18.8,86.9,31,30.9,49.7
Philadelphia Flyers,20172018,82,42,26,--,14,98,0.598,31,40,2,249,236,3.04,2.88,20.7,75.8,16.9,77.1,32.1,29.9,53.3
Columbus Blue Jackets,20172018,82,45,30,--,7,97,0.591,30,39,6,236,226,2.88,2.76,17.2,76.2,14.1,78,33.7,31.3,48.4
New Jersey Devils,20172018,82,44,29,--,9,97,0.591,33,39,5,243,240,2.96,2.93,21.4,81.8,19.1,86.4,31.7,31.9,47
Florida Panthers,20172018,82,44,30,--,8,96,0.585,38,41,3,245,243,2.99,2.96,18.9,80.2,16.9,84.6,34.4,34.6,50.7
Colorado Avalanche,20172018,82,43,30,--,9,95,0.579,35,41,2,255,236,3.11,2.88,22,83.3,17.6,85.9,29.7,33.3,44.2
St. Louis Blues,20172018,82,44,32,--,6,94,0.573,33,41,3,223,222,2.72,2.71,15.5,79.7,11.8,81.8,32.6,29.7,50.6
Dallas Stars,20172018,82,42,32,--,8,92,0.561,33,38,4,231,222,2.82,2.71,19.3,80.8,15.2,83.3,31.2,29.8,52.5
Calgary Flames,20172018,82,37,35,--,10,84,0.512,28,35,2,216,243,2.63,2.96,16,81.8,13.4,84.4,33.6,31.1,49.4
Carolina Hurricanes,20172018,82,36,35,--,11,83,0.506,30,33,3,225,253,2.74,3.09,18.4,77.5,15.9,79.1,33.9,28.9,54.1
New York Islanders,20172018,82,35,37,--,10,80,0.488,25,32,3,261,293,3.18,3.57,23.2,73.2,18.8,75.3,31.4,35.6,48.9
Edmonton Oilers,20172018,82,36,40,--,6,78,0.476,24,31,5,229,262,2.79,3.2,14.8,76.7,12.4,81.2,33.4,32.1,48.7
New York Rangers,20172018,82,34,39,--,9,77,0.47,24,31,3,228,263,2.78,3.21,21.2,81.4,19.1,83.4,31,35.3,49.3
Chicago Blackhawks,20172018,82,33,39,--,10,76,0.463,26,32,1,228,254,2.78,3.1,16,79.2,13.4,81.3,34.1,32.9,49.3
Vancouver Canucks,20172018,82,31,40,--,11,73,0.445,25,31,0,218,259,2.66,3.16,21.5,78.3,17.4,80.8,30,32.2,49.5
Detroit Red Wings,20172018,82,30,39,--,13,73,0.445,22,25,5,212,254,2.59,3.1,17.5,77.5,15.4,81,30.4,31.9,48.9
Montréal Canadiens,20172018,82,29,40,--,13,71,0.433,24,27,2,207,258,2.52,3.15,21.2,74.1,18.8,76.8,32.8,32.3,47.6
Arizona Coyotes,20172018,82,29,41,--,12,70,0.427,20,27,2,206,251,2.51,3.06,16.9,80,12.8,80.9,29.9,32.2,47.7
Ottawa Senators,20172018,82,28,43,--,11,67,0.409,18,26,2,219,284,2.67,3.46,16.6,76.2,14.2,77.9,30.7,33.1,50.3
Buffalo Sabres,20172018,82,25,45,--,12,62,0.378,19,24,1,198,278,2.41,3.39,19.1,77.9,15.2,81.7,31.2,32.7,51.5
Washington Capitals,20162017,82,55,19,--,8,118,0.72,45,53,2,261,177,3.18,2.16,23.1,83.8,21.9,85.7,30.4,27.8,49.8
Pittsburgh Penguins,20162017,82,50,21,--,11,111,0.677,40,46,4,278,229,3.39,2.79,23.1,79.8,20.4,81.7,33.5,32.6,47.6
Chicago Blackhawks,20162017,82,50,23,--,9,109,0.665,37,46,4,240,212,2.93,2.59,18,77.7,15,78.2,30.6,31.4,47.5
Columbus Blue Jackets,20162017,82,50,24,--,8,108,0.659,39,48,2,247,193,3.01,2.35,19.9,82.5,19,87,31,30.4,48.6
Minnesota Wild,20162017,82,49,25,--,8,106,0.646,42,46,3,263,206,3.21,2.51,21,83,19.6,85.3,30.8,30.1,52
Anaheim Ducks,20162017,82,46,23,--,13,105,0.64,40,43,3,220,197,2.68,2.4,18.7,84.7,15.9,87.9,29.6,29.6,54.7
Montréal Canadiens,20162017,82,47,26,--,9,103,0.628,33,44,3,223,198,2.72,2.41,19.7,81.1,17,83.1,30,29.6,50.3
Edmonton Oilers,20162017,82,47,26,--,9,103,0.628,37,43,4,243,207,2.96,2.52,22.9,80.7,20.8,82.5,31.1,29.5,47
New York Rangers,20162017,82,48,28,--,6,102,0.622,40,45,3,253,216,3.09,2.63,20.2,79.8,18,83.9,29.7,30.1,48.4
St. Louis Blues,20162017,82,46,29,--,7,99,0.604,38,44,2,233,216,2.84,2.63,21.3,84.8,19.2,85.9,28.4,28.4,50.3
San Jose Sharks,20162017,82,46,29,--,7,99,0.604,38,44,2,219,200,2.67,2.44,16.7,80.7,14.2,84,29.9,27.7,48.1
Ottawa Senators,20162017,82,44,28,--,10,98,0.598,34,38,6,206,210,2.51,2.56,17,79.7,15.8,82.5,30,30.1,51
Boston Bruins,20162017,82,44,31,--,7,95,0.579,38,42,2,232,209,2.83,2.55,21.7,85.7,19.3,89.4,33.2,26.8,53.2
Toronto Maple Leafs,20162017,82,40,27,--,15,95,0.579,33,39,1,250,234,3.05,2.85,23.8,82.5,20.9,84.9,31.9,32.6,49.9
Calgary Flames,20162017,82,45,33,--,4,94,0.573,32,41,4,222,219,2.71,2.67,20.2,81.6,18.3,84.5,29.1,28.7,48.9
Tampa Bay Lightning,20162017,82,42,30,--,10,94,0.573,32,38,4,230,224,2.8,2.73,22.8,81.4,19.9,83,29.9,30.4,47.7
New York Islanders,20162017,82,41,29,--,12,94,0.573,33,39,2,239,238,2.91,2.9,15,81.9,12,84.1,30.2,31.9,47.7
Nashville Predators,20162017,82,41,29,--,12,94,0.573,35,39,2,238,220,2.9,2.68,18.9,80.9,16.6,85.9,31.2,30.1,51.4
Philadelphia Flyers,20162017,82,39,33,--,10,88,0.537,25,32,7,212,231,2.59,2.82,19.5,79.8,16.3,81.4,31.5,28.5,52.3
Winnipeg Jets,20162017,82,40,35,--,7,87,0.53,33,37,3,246,255,3,3.11,18.2,77.5,14.8,81.1,29.9,31,48.5
Carolina Hurricanes,20162017,82,36,31,--,15,87,0.53,28,33,3,212,230,2.59,2.8,17.8,84.2,15.2,89.1,30.4,28.3,53.1
Los Angeles Kings,20162017,82,39,35,--,8,86,0.524,25,37,2,199,201,2.43,2.45,19.1,84.6,17.8,86.6,31.1,25.9,50.8
Florida Panthers,20162017,82,35,36,--,11,81,0.494,23,30,5,205,231,2.5,2.82,17,85.3,14,88.6,32.2,31.6,47.9
Dallas Stars,20162017,82,34,37,--,11,79,0.482,28,33,1,222,260,2.71,3.17,17.9,73.9,13.6,75.9,30.5,29.7,49.9
Detroit Red Wings,20162017,82,33,36,--,13,79,0.482,17,24,9,198,244,2.41,2.98,15.1,80.9,11.5,82.1,28.5,30.6,51.9
Buffalo Sabres,20162017,82,33,37,--,12,78,0.476,25,31,2,199,231,2.43,2.82,24.5,77.6,22.8,78.9,30.4,34.3,49.6
Arizona Coyotes,20162017,82,30,42,--,10,70,0.427,20,24,6,191,258,2.33,3.15,16.2,77.3,13.2,80.4,27.8,34.1,48
New Jersey Devils,20162017,82,28,40,--,14,70,0.427,18,25,3,180,241,2.2,2.94,17.5,79.6,12.8,81.9,27.8,31.4,49.2
Vancouver Canucks,20162017,82,30,43,--,9,69,0.421,19,26,4,178,241,2.17,2.94,14.1,76.7,11.5,77.6,27.7,31.8,51.2
Colorado Avalanche,20162017,82,22,56,--,4,48,0.293,14,21,1,165,276,2.01,3.37,12.6,76.6,11.7,78.5,28.1,31.7,53.6
